Year,Attribute,Value
1969,Farm inputs: Total ,0.988690687
1969,Capital inputs: Total,1.247760165
1969,Capital inputs: Durable equipment,0.959050741
1969,Capital inputs: Service buildings,1.39657323
1969,Capital inputs: Land,1.21914561
1969,Capital inputs: Inventories,1.025359899
1969,Labor inputs: Total,1.839294101
1969,Labor inputs: Hired labor,1.462272278
1969,Labor inputs: Self-employed and unpaid family workers,2.065026146
1969,Intermediate inputs: Total,0.657951357
1969,Intermediate inputs: Feed and seed,0.717117477
1969,Intermediate inputs: Energy,1.543142517
1969,Intermediate inputs: Fertilizer and lime,0.559032778
1969,Intermediate inputs: Pesticides,0.131096159
1969,Intermediate inputs: Purchased services,0.575644955
1969,Intermediate inputs: Other intermediate inputs,0.381080426
1969,Total factor productivity (TFP),0.491484318
1970,Total agricultural output,0.47929293
1970,Livestock and products output: Total,0.62440231
1970,Livestock and products output: Meat animals,0.903831378
1970,Livestock and products output: Dairy,0.54447903
1970,Livestock and products output: Poultry and eggs,0.313983801
1970,Crops output: Total,0.442473804
1970,Crops output: Food grains,0.593353441
1970,Crops output: Feed crops,0.507429747
1970,Crops output: Oil crops,0.303628628
1970,Crops output: Vegetables and melons,0.591185475
1970,Crops output: Fruits and nuts,0.437622296
1970,Crops output: Other crops,0.439502803
1970,Farm-related output,0.177816199
1970,Farm inputs: Total ,0.989315466
1970,Capital inputs: Total,1.241672325
1970,Capital inputs: Durable equipment,0.966589235
1970,Capital inputs: Service buildings,1.422586978
1970,Capital inputs: Land,1.198565052
1970,Capital inputs: Inventories,1.036855793
1970,Labor inputs: Total,1.759648765
1970,Labor inputs: Hired labor,1.473463661
1970,Labor inputs: Self-employed and unpaid family workers,1.930012621
1970,Intermediate inputs: Total,0.675463655
1970,Intermediate inputs: Feed and seed,0.736536599
1970,Intermediate inputs: Energy,1.545679391
1970,Intermediate inputs: Fertilizer and lime,0.686590758
1970,Intermediate inputs: Pesticides,0.134900759
1970,Intermediate inputs: Purchased services,0.557641403
1970,Intermediate inputs: Other intermediate inputs,0.361681191
1970,Total factor productivity (TFP),0.484469258
1971,Total agricultural output,0.511800247
1971,Livestock and products output: Total,0.631034465
1971,Livestock and products output: Meat animals,0.912893722
1971,Livestock and products output: Dairy,0.553224501
1971,Livestock and products output: Poultry and eggs,0.31790083
1971,Crops output: Total,0.495425993
1971,Crops output: Food grains,0.697066507
1971,Crops output: Feed crops,0.61785369
1971,Crops output: Oil crops,0.3343331
1971,Crops output: Vegetables and melons,0.602655351
1971,Crops output: Fruits and nuts,0.458336814
1971,Crops output: Other crops,0.429004168
1971,Farm-related output,0.181373289
1971,Farm inputs: Total ,0.979598839
1971,Capital inputs: Total,1.234238507
1971,Capital inputs: Durable equipment,0.975981262
1971,Capital inputs: Service buildings,1.451875878
1971,Capital inputs: Land,1.178423992
1971,Capital inputs: Inventories,1.018502126
1971,Labor inputs: Total,1.731711787
1971,Labor inputs: Hired labor,1.456993338
1971,Labor inputs: Self-employed and unpaid family workers,1.895147001
1971,Intermediate inputs: Total,0.66913295
1971,Intermediate inputs: Feed and seed,0.719364143
1971,Intermediate inputs: Energy,1.514604492
1971,Intermediate inputs: Fertilizer and lime,0.677381382
1971,Intermediate inputs: Pesticides,0.149489144
1971,Intermediate inputs: Purchased services,0.563493288
1971,Intermediate inputs: Other intermediate inputs,0.371497702
1971,Total factor productivity (TFP),0.522459017
1972,Total agricultural output,0.513956266
1972,Livestock and products output: Total,0.633709955
1972,Livestock and products output: Meat animals,0.903104505
1972,Livestock and products output: Dairy,0.561285753
1972,Livestock and products output: Poultry and eggs,0.326268908
1972,Crops output: Total,0.49786188
1972,Crops output: Food grains,0.666303167
1972,Crops output: Feed crops,0.602477545
1972,Crops output: Oil crops,0.34145643
1972,Crops output: Vegetables and melons,0.611724804
1972,Crops output: Fruits and nuts,0.414379782
1972,Crops output: Other crops,0.490251911
1972,Farm-related output,0.178862232
1972,Farm inputs: Total ,0.987113336
1972,Capital inputs: Total,1.227457226
1972,Capital inputs: Durable equipment,0.979247366
1972,Capital inputs: Service buildings,1.477066943
1972,Capital inputs: Land,1.16081644
1972,Capital inputs: Inventories,1.077732824
1972,Labor inputs: Total,1.724012478
1972,Labor inputs: Hired labor,1.451086469
1972,Labor inputs: Self-employed and unpaid family workers,1.886373401
1972,Intermediate inputs: Total,0.684669219
1972,Intermediate inputs: Feed and seed,0.742024523
1972,Intermediate inputs: Energy,1.499438991
1972,Intermediate inputs: Fertilizer and lime,0.663867681
1972,Intermediate inputs: Pesticides,0.179982719
1972,Intermediate inputs: Purchased services,0.56322095
1972,Intermediate inputs: Other intermediate inputs,0.379261742
1972,Total factor productivity (TFP),0.520665912
1973,Total agricultural output,0.53778616
1973,Livestock and products output: Total,0.645489414
1973,Livestock and products output: Meat animals,0.947730305
1973,Livestock and products output: Dairy,0.540344808
1973,Livestock and products output: Poultry and eggs,0.316463331
1973,Crops output: Total,0.529313146
1973,Crops output: Food grains,0.734282137
1973,Crops output: Feed crops,0.622060967
1973,Crops output: Oil crops,0.40710176
1973,Crops output: Vegetables and melons,0.607390547
1973,Crops output: Fruits and nuts,0.499438422
1973,Crops output: Other crops,0.489049719
1973,Farm-related output,0.211977453
1973,Farm inputs: Total ,1.008360063
1973,Capital inputs: Total,1.22408361
1973,Capital inputs: Durable equipment,0.996881709
1973,Capital inputs: Service buildings,1.491630079
1973,Capital inputs: Land,1.147834874
1973,Capital inputs: Inventories,1.096852109
1973,Labor inputs: Total,1.708919827
1973,Labor inputs: Hired labor,1.472525371
1973,Labor inputs: Self-employed and unpaid family workers,1.849077593
1973,Intermediate inputs: Total,0.72328118
1973,Intermediate inputs: Feed and seed,0.748681644
1973,Intermediate inputs: Energy,1.517180036
1973,Intermediate inputs: Fertilizer and lime,0.989196876
1973,Intermediate inputs: Pesticides,0.177895585
1973,Intermediate inputs: Purchased services,0.602915416
1973,Intermediate inputs: Other intermediate inputs,0.411102164
1973,Total factor productivity (TFP),0.533327509
1974,Total agricultural output,0.509115204
1974,Livestock and products output: Total,0.649069612
1974,Livestock and products output: Meat animals,0.951264499
1974,Livestock and products output: Dairy,0.541520507
1974,Livestock and products output: Poultry and eggs,0.319010635
1974,Crops output: Total,0.480538592
1974,Crops output: Food grains,0.779728772
1974,Crops output: Feed crops,0.532516594
1974,Crops output: Oil crops,0.328108976
1974,Crops output: Vegetables and melons,0.604665948
1974,Crops output: Fruits and nuts,0.511736984
1974,Crops output: Other crops,0.469195589
1974,Farm-related output,0.219976693
1974,Farm inputs: Total ,0.998620748
1974,Capital inputs: Total,1.233431931
1974,Capital inputs: Durable equipment,1.051733483
1974,Capital inputs: Service buildings,1.523138263
1974,Capital inputs: Land,1.141500865
1974,Capital inputs: Inventories,1.141309843
1974,Labor inputs: Total,1.704178244
1974,Labor inputs: Hired labor,1.567239133
1974,Labor inputs: Self-employed and unpaid family workers,1.783800081
1974,Intermediate inputs: Total,0.704510097
1974,Intermediate inputs: Feed and seed,0.744129459
1974,Intermediate inputs: Energy,1.448012761
1974,Intermediate inputs: Fertilizer and lime,0.79655583
1974,Intermediate inputs: Pesticides,0.157149605
1974,Intermediate inputs: Purchased services,0.609754255
1974,Intermediate inputs: Other intermediate inputs,0.511244057
1974,Total factor productivity (TFP),0.509818372
1975,Total agricultural output,0.55152541
1975,Livestock and products output: Total,0.626350763
1975,Livestock and products output: Meat animals,0.894678367
1975,Livestock and products output: Dairy,0.541289222
1975,Livestock and products output: Poultry and eggs,0.311208427
1975,Crops output: Total,0.549842409
1975,Crops output: Food grains,0.924321883
1975,Crops output: Feed crops,0.617236548
1975,Crops output: Oil crops,0.400706165
1975,Crops output: Vegetables and melons,0.643148725
1975,Crops output: Fruits and nuts,0.548337951
1975,Crops output: Other crops,0.500195536
1975,Farm-related output,0.323132336
1975,Farm inputs: Total ,0.985483893
1975,Capital inputs: Total,1.249634697
1975,Capital inputs: Durable equipment,1.094739825
1975,Capital inputs: Service buildings,1.563696343
1975,Capital inputs: Land,1.142713559
1975,Capital inputs: Inventories,1.103065996
1975,Labor inputs: Total,1.673020663
1975,Labor inputs: Hired labor,1.591743807
1975,Labor inputs: Self-employed and unpaid family workers,1.718822092
1975,Intermediate inputs: Total,0.684342542
1975,Intermediate inputs: Feed and seed,0.704626161
1975,Intermediate inputs: Energy,1.706686362
1975,Intermediate inputs: Fertilizer and lime,0.716037204
1975,Intermediate inputs: Pesticides,0.156244305
1975,Intermediate inputs: Purchased services,0.631721264
1975,Intermediate inputs: Other intermediate inputs,0.492112755
1975,Total factor productivity (TFP),0.559649339
1976,Total agricultural output,0.554099968
1976,Livestock and products output: Total,0.647050969
1976,Livestock and products output: Meat animals,0.915497597
1976,Livestock and products output: Dairy,0.564822489
1976,Livestock and products output: Poultry and eggs,0.332797337
1976,Crops output: Total,0.54600438
1976,Crops output: Food grains,0.919350174
1976,Crops output: Feed crops,0.623328159
1976,Crops output: Oil crops,0.342426011
1976,Crops output: Vegetables and melons,0.662140248
1976,Crops output: Fruits and nuts,0.53068535
1976,Crops output: Other crops,0.531813255
1976,Farm-related output,0.291783761
1976,Farm inputs: Total ,1.020180257
1976,Capital inputs: Total,1.262614185
1976,Capital inputs: Durable equipment,1.122362071
1976,Capital inputs: Service buildings,1.577964329
1976,Capital inputs: Land,1.148297788
1976,Capital inputs: Inventories,1.173773514
1976,Labor inputs: Total,1.64885248
1976,Labor inputs: Hired labor,1.609562678
1976,Labor inputs: Self-employed and unpaid family workers,1.669141866
1976,Intermediate inputs: Total,0.731370212
1976,Intermediate inputs: Feed and seed,0.737717577
1976,Intermediate inputs: Energy,1.922355235
1976,Intermediate inputs: Fertilizer and lime,0.832013882
1976,Intermediate inputs: Pesticides,0.185322893
1976,Intermediate inputs: Purchased services,0.661685198
1976,Intermediate inputs: Other intermediate inputs,0.451094977
1976,Total factor productivity (TFP),0.543139278
1977,Total agricultural output,0.580194267
1977,Livestock and products output: Total,0.641646274
1977,Livestock and products output: Meat animals,0.874273099
1977,Livestock and products output: Dairy,0.57739862
1977,Livestock and products output: Poultry and eggs,0.340934986
1977,Crops output: Total,0.592350325
1977,Crops output: Food grains,0.862059086
1977,Crops output: Feed crops,0.663761024
1977,Crops output: Oil crops,0.464627792
1977,Crops output: Vegetables and melons,0.680326487
1977,Crops output: Fruits and nuts,0.561781788
1977,Crops output: Other crops,0.560869891
1977,Farm-related output,0.29576996
1977,Farm inputs: Total ,1.000343967
1977,Capital inputs: Total,1.278152816
1977,Capital inputs: Durable equipment,1.159088546
1977,Capital inputs: Service buildings,1.602920514
1977,Capital inputs: Land,1.154188998
1977,Capital inputs: Inventories,1.145740532
1977,Labor inputs: Total,1.604298603
1977,Labor inputs: Hired labor,1.570110755
1977,Labor inputs: Self-employed and unpaid family workers,1.621579187
1977,Intermediate inputs: Total,0.706228396
1977,Intermediate inputs: Feed and seed,0.70748688
1977,Intermediate inputs: Energy,2.01867319
1977,Intermediate inputs: Fertilizer and lime,0.719197402
1977,Intermediate inputs: Pesticides,0.159479444
1977,Intermediate inputs: Purchased services,0.681215475
1977,Intermediate inputs: Other intermediate inputs,0.447803028
1977,Total factor productivity (TFP),0.579994768
1978,Total agricultural output,0.587568511
1978,Livestock and products output: Total,0.633691233
1978,Livestock and products output: Meat animals,0.847059747
1978,Livestock and products output: Dairy,0.572406715
1978,Livestock and products output: Poultry and eggs,0.356091143
1978,Crops output: Total,0.607933596
1978,Crops output: Food grains,0.80648163
1978,Crops output: Feed crops,0.712983875
1978,Crops output: Oil crops,0.490594447
1978,Crops output: Vegetables and melons,0.710535099
1978,Crops output: Fruits and nuts,0.556905566
1978,Crops output: Other crops,0.52972991
1978,Farm-related output,0.314340373
1978,Farm inputs: Total ,1.071276221
1978,Capital inputs: Total,1.291513729
1978,Capital inputs: Durable equipment,1.189104972
1978,Capital inputs: Service buildings,1.630774607
1978,Capital inputs: Land,1.156322086
1978,Capital inputs: Inventories,1.193765742
1978,Labor inputs: Total,1.577467481
1978,Labor inputs: Hired labor,1.476362797
1978,Labor inputs: Self-employed and unpaid family workers,1.635561152
1978,Intermediate inputs: Total,0.807104857
1978,Intermediate inputs: Feed and seed,0.808522655
1978,Intermediate inputs: Energy,2.118991319
1978,Intermediate inputs: Fertilizer and lime,0.730491664
1978,Intermediate inputs: Pesticides,0.193365543
1978,Intermediate inputs: Purchased services,0.822383277
1978,Intermediate inputs: Other intermediate inputs,0.697541314
1978,Total factor productivity (TFP),0.548475266
1979,Total agricultural output,0.622908255
1979,Livestock and products output: Total,0.642447373
1979,Livestock and products output: Meat animals,0.84084608
1979,Livestock and products output: Dairy,0.582400162
1979,Livestock and products output: Poultry and eggs,0.3847438
1979,Crops output: Total,0.666147348
1979,Crops output: Food grains,0.940523801
1979,Crops output: Feed crops,0.750905259
1979,Crops output: Oil crops,0.596351663
1979,Crops output: Vegetables and melons,0.741839857
1979,Crops output: Fruits and nuts,0.597030116
1979,Crops output: Other crops,0.562488557
1979,Farm-related output,0.317777033
1979,Farm inputs: Total ,1.106658946
1979,Capital inputs: Total,1.296193719
1979,Capital inputs: Durable equipment,1.231512405
1979,Capital inputs: Service buildings,1.567766353
1979,Capital inputs: Land,1.151923912
1979,Capital inputs: Inventories,1.209921604
1979,Labor inputs: Total,1.603240509
1979,Labor inputs: Hired labor,1.532025823
1979,Labor inputs: Self-employed and unpaid family workers,1.643074266
1979,Intermediate inputs: Total,0.852728142
1979,Intermediate inputs: Feed and seed,0.860119282
1979,Intermediate inputs: Energy,1.93952621
1979,Intermediate inputs: Fertilizer and lime,0.77716786
1979,Intermediate inputs: Pesticides,0.243166359
1979,Intermediate inputs: Purchased services,0.864803184
1979,Intermediate inputs: Other intermediate inputs,0.814797409
1979,Total factor productivity (TFP),0.562872832
1980,Total agricultural output,0.602535234
1980,Livestock and products output: Total,0.673115824
1980,Livestock and products output: Meat animals,0.897645817
1980,Livestock and products output: Dairy,0.607446419
1980,Livestock and products output: Poultry and eggs,0.389740991
1980,Crops output: Total,0.606307714
1980,Crops output: Food grains,1.046512764
1980,Crops output: Feed crops,0.642657263
1980,Crops output: Oil crops,0.462052482
1980,Crops output: Vegetables and melons,0.746344319
1980,Crops output: Fruits and nuts,0.649965629
1980,Crops output: Other crops,0.53700138
1980,Farm-related output,0.338391713
1980,Farm inputs: Total ,1.117509247
1980,Capital inputs: Total,1.312884598
1980,Capital inputs: Durable equipment,1.274823509
1980,Capital inputs: Service buildings,1.658649343
1980,Capital inputs: Land,1.142688861
1980,Capital inputs: Inventories,1.279208788
1980,Labor inputs: Total,1.562436087
1980,Labor inputs: Hired labor,1.519712607
1980,Labor inputs: Self-employed and unpaid family workers,1.585006827
1980,Intermediate inputs: Total,0.868734507
1980,Intermediate inputs: Feed and seed,0.902404614
1980,Intermediate inputs: Energy,1.889732504
1980,Intermediate inputs: Fertilizer and lime,0.956763068
1980,Intermediate inputs: Pesticides,0.237037256
1980,Intermediate inputs: Purchased services,0.790911893
1980,Intermediate inputs: Other intermediate inputs,0.684333986
1980,Total factor productivity (TFP),0.539176956
1981,Total agricultural output,0.655815167
1981,Livestock and products output: Total,0.690048548
1981,Livestock and products output: Meat animals,0.905985946
1981,Livestock and products output: Dairy,0.62864756
1981,Livestock and products output: Poultry and eggs,0.405297776
1981,Crops output: Total,0.692380559
1981,Crops output: Food grains,1.236496975
1981,Crops output: Feed crops,0.763781265
1981,Crops output: Oil crops,0.51352744
1981,Crops output: Vegetables and melons,0.754598952
1981,Crops output: Fruits and nuts,0.636657972
1981,Crops output: Other crops,0.635504641
1981,Farm-related output,0.314684185
1981,Farm inputs: Total ,1.079389139
1981,Capital inputs: Total,1.299972687
1981,Capital inputs: Durable equipment,1.277819754
1981,Capital inputs: Service buildings,1.634656945
1981,Capital inputs: Land,1.131397257
1981,Capital inputs: Inventories,1.202340146
1981,Labor inputs: Total,1.55923689
1981,Labor inputs: Hired labor,1.512844628
1981,Labor inputs: Self-employed and unpaid family workers,1.584052507
1981,Intermediate inputs: Total,0.821116345
1981,Intermediate inputs: Feed and seed,0.863619308
1981,Intermediate inputs: Energy,1.813678293
1981,Intermediate inputs: Fertilizer and lime,0.829670129
1981,Intermediate inputs: Pesticides,0.263650387
1981,Intermediate inputs: Purchased services,0.741438913
1981,Intermediate inputs: Other intermediate inputs,0.526888502
1981,Total factor productivity (TFP),0.60757992
1982,Total agricultural output,0.66526255
1982,Livestock and products output: Total,0.684621525
1982,Livestock and products output: Meat animals,0.890217211
1982,Livestock and products output: Dairy,0.641546527
1982,Livestock and products output: Poultry and eggs,0.406485437
1982,Crops output: Total,0.699889983
1982,Crops output: Food grains,1.199390312
1982,Crops output: Feed crops,0.780517279
1982,Crops output: Oil crops,0.569299357
1982,Crops output: Vegetables and melons,0.796125671
1982,Crops output: Fruits and nuts,0.63442912
1982,Crops output: Other crops,0.582428742
1982,Farm-related output,0.422234871
1982,Farm inputs: Total ,1.049440779
1982,Capital inputs: Total,1.280122657
1982,Capital inputs: Durable equipment,1.256192179
1982,Capital inputs: Service buildings,1.461506689
1982,Capital inputs: Land,1.120787466
1982,Capital inputs: Inventories,1.287339758
1982,Labor inputs: Total,1.447455997
1982,Labor inputs: Hired labor,1.357570783
1982,Labor inputs: Self-employed and unpaid family workers,1.499126455
1982,Intermediate inputs: Total,0.803406919
1982,Intermediate inputs: Feed and seed,0.879797589
1982,Intermediate inputs: Energy,1.703724873
1982,Intermediate inputs: Fertilizer and lime,0.616584238
1982,Intermediate inputs: Pesticides,0.24077895
1982,Intermediate inputs: Purchased services,0.772496873
1982,Intermediate inputs: Other intermediate inputs,0.557743097
1982,Total factor productivity (TFP),0.633921002
1983,Total agricultural output,0.571645648
1983,Livestock and products output: Total,0.692171753
1983,Livestock and products output: Meat animals,0.900775994
1983,Livestock and products output: Dairy,0.66122504
1983,Livestock and products output: Poultry and eggs,0.409178731
1983,Crops output: Total,0.535523942
1983,Crops output: Food grains,1.016242386
1983,Crops output: Feed crops,0.50636304
1983,Crops output: Oil crops,0.427267635
1983,Crops output: Vegetables and melons,0.789760172
1983,Crops output: Fruits and nuts,0.631815649
1983,Crops output: Other crops,0.491899872
1983,Farm-related output,0.420085988
1983,Farm inputs: Total ,1.045833535
1983,Capital inputs: Total,1.263887641
1983,Capital inputs: Durable equipment,1.200214564
1983,Capital inputs: Service buildings,1.570782591
1983,Capital inputs: Land,1.112892783
1983,Capital inputs: Inventories,1.264484538
1983,Labor inputs: Total,1.428796159
1983,Labor inputs: Hired labor,1.499484247
1983,Labor inputs: Self-employed and unpaid family workers,1.382037879
1983,Intermediate inputs: Total,0.806759878
1983,Intermediate inputs: Feed and seed,0.891152229
1983,Intermediate inputs: Energy,1.654980647
1983,Intermediate inputs: Fertilizer and lime,0.635662004
1983,Intermediate inputs: Pesticides,0.217809473
1983,Intermediate inputs: Purchased services,0.754372711
1983,Intermediate inputs: Other intermediate inputs,0.762794367
1983,Total factor productivity (TFP),0.546593343
1984,Total agricultural output,0.649291147
1984,Livestock and products output: Total,0.681645323
1984,Livestock and products output: Meat animals,0.886160649
1984,Livestock and products output: Dairy,0.638062794
1984,Livestock and products output: Poultry and eggs,0.419643251
1984,Crops output: Total,0.677653546
1984,Crops output: Food grains,1.125774568
1984,Crops output: Feed crops,0.75067412
1984,Crops output: Oil crops,0.498732217
1984,Crops output: Vegetables and melons,0.811694165
1984,Crops output: Fruits and nuts,0.627865752
1984,Crops output: Other crops,0.620251891
1984,Farm-related output,0.366386347
1984,Farm inputs: Total ,1.011219425
1984,Capital inputs: Total,1.231836537
1984,Capital inputs: Durable equipment,1.144783495
1984,Capital inputs: Service buildings,1.637803854
1984,Capital inputs: Land,1.107165888
1984,Capital inputs: Inventories,1.119652182
1984,Labor inputs: Total,1.386561417
1984,Labor inputs: Hired labor,1.396977455
1984,Labor inputs: Self-employed and unpaid family workers,1.376968607
1984,Intermediate inputs: Total,0.776110212
1984,Intermediate inputs: Feed and seed,0.799048652
1984,Intermediate inputs: Energy,1.712079217
1984,Intermediate inputs: Fertilizer and lime,0.659939015
1984,Intermediate inputs: Pesticides,0.266888743
1984,Intermediate inputs: Purchased services,0.735933511
1984,Intermediate inputs: Other intermediate inputs,0.902752009
1984,Total factor productivity (TFP),0.642087297
1985,Total agricultural output,0.67801397
1985,Livestock and products output: Total,0.69866413
1985,Livestock and products output: Meat animals,0.872325864
1985,Livestock and products output: Dairy,0.677270449
1985,Livestock and products output: Poultry and eggs,0.43731642
1985,Crops output: Total,0.710899131
1985,Crops output: Food grains,1.055906522
1985,Crops output: Feed crops,0.826948193
1985,Crops output: Oil crops,0.548143409
1985,Crops output: Vegetables and melons,0.857448779
1985,Crops output: Fruits and nuts,0.619017413
1985,Crops output: Other crops,0.614696551
1985,Farm-related output,0.418208514
1985,Farm inputs: Total ,0.984771201
1985,Capital inputs: Total,1.214866439
1985,Capital inputs: Durable equipment,1.088173754
1985,Capital inputs: Service buildings,1.648237814
1985,Capital inputs: Land,1.102454826
1985,Capital inputs: Inventories,1.203907037
1985,Labor inputs: Total,1.280784163
1985,Labor inputs: Hired labor,1.266017292
1985,Labor inputs: Self-employed and unpaid family workers,1.286982255
1985,Intermediate inputs: Total,0.761266604
1985,Intermediate inputs: Feed and seed,0.809435835
1985,Intermediate inputs: Energy,1.537020469
1985,Intermediate inputs: Fertilizer and lime,0.692506758
1985,Intermediate inputs: Pesticides,0.251155873
1985,Intermediate inputs: Purchased services,0.733156896
1985,Intermediate inputs: Other intermediate inputs,0.57126196
1985,Total factor productivity (TFP),0.688498983
1986,Total agricultural output,0.651783647
1986,Livestock and products output: Total,0.699414405
1986,Livestock and products output: Meat animals,0.876064581
1986,Livestock and products output: Dairy,0.678123314
1986,Livestock and products output: Poultry and eggs,0.454872885
1986,Crops output: Total,0.667413939
1986,Crops output: Food grains,0.926406995
1986,Crops output: Feed crops,0.784467593
1986,Crops output: Oil crops,0.502284477
1986,Crops output: Vegetables and melons,0.885397186
1986,Crops output: Fruits and nuts,0.597909421
1986,Crops output: Other crops,0.562040632
1986,Farm-related output,0.391138782
1986,Farm inputs: Total ,0.987787319
1986,Capital inputs: Total,1.16838181
1986,Capital inputs: Durable equipment,1.01457248
1986,Capital inputs: Service buildings,1.571049301
1986,Capital inputs: Land,1.097704503
1986,Capital inputs: Inventories,1.163529148
1986,Labor inputs: Total,1.302421971
1986,Labor inputs: Hired labor,1.217588471
1986,Labor inputs: Self-employed and unpaid family workers,1.351986682
1986,Intermediate inputs: Total,0.784289084
1986,Intermediate inputs: Feed and seed,0.805976708
1986,Intermediate inputs: Energy,1.426866548
1986,Intermediate inputs: Fertilizer and lime,0.865590857
1986,Intermediate inputs: Pesticides,0.498022086
1986,Intermediate inputs: Purchased services,0.657717204
1986,Intermediate inputs: Other intermediate inputs,0.749388144
1986,Total factor productivity (TFP),0.659842088
1987,Total agricultural output,0.659589869
1987,Livestock and products output: Total,0.71032638
1987,Livestock and products output: Meat animals,0.866669739
1987,Livestock and products output: Dairy,0.676750058
1987,Livestock and products output: Poultry and eggs,0.49614112
1987,Crops output: Total,0.669520182
1987,Crops output: Food grains,0.927913702
1987,Crops output: Feed crops,0.69493176
1987,Crops output: Oil crops,0.504622301
1987,Crops output: Vegetables and melons,0.939510794
1987,Crops output: Fruits and nuts,0.685575279
1987,Crops output: Other crops,0.675443688
1987,Farm-related output,0.425498626
1987,Farm inputs: Total ,0.97405657
1987,Capital inputs: Total,1.126375201
1987,Capital inputs: Durable equipment,0.939884702
1987,Capital inputs: Service buildings,1.514837678
1987,Capital inputs: Land,1.091954734
1987,Capital inputs: Inventories,1.134849806
1987,Labor inputs: Total,1.325508787
1987,Labor inputs: Hired labor,1.24249474
1987,Labor inputs: Self-employed and unpaid family workers,1.373888942
1987,Intermediate inputs: Total,0.778615793
1987,Intermediate inputs: Feed and seed,0.785429551
1987,Intermediate inputs: Energy,1.590975225
1987,Intermediate inputs: Fertilizer and lime,0.694875468
1987,Intermediate inputs: Pesticides,0.511860521
1987,Intermediate inputs: Purchased services,0.694434042
1987,Intermediate inputs: Other intermediate inputs,0.693365712
1987,Total factor productivity (TFP),0.677157662
1988,Total agricultural output,0.622043501
1988,Livestock and products output: Total,0.712720776
1988,Livestock and products output: Meat animals,0.847239345
1988,Livestock and products output: Dairy,0.688232403
1988,Livestock and products output: Poultry and eggs,0.506073497
1988,Crops output: Total,0.590214169
1988,Crops output: Food grains,0.844091462
1988,Crops output: Feed crops,0.51787142
1988,Crops output: Oil crops,0.418169809
1988,Crops output: Vegetables and melons,0.896693032
1988,Crops output: Fruits and nuts,0.735737979
1988,Crops output: Other crops,0.713005014
1988,Farm-related output,0.498049846
1988,Farm inputs: Total ,0.958847007
1988,Capital inputs: Total,1.099588687
1988,Capital inputs: Durable equipment,0.890907354
1988,Capital inputs: Service buildings,1.520430217
1988,Capital inputs: Land,1.084620243
1988,Capital inputs: Inventories,1.094702265
1988,Labor inputs: Total,1.341933247
1988,Labor inputs: Hired labor,1.282830053
1988,Labor inputs: Self-employed and unpaid family workers,1.375402578
1988,Intermediate inputs: Total,0.763267914
1988,Intermediate inputs: Feed and seed,0.771959705
1988,Intermediate inputs: Energy,1.590903406
1988,Intermediate inputs: Fertilizer and lime,0.612731408
1988,Intermediate inputs: Pesticides,0.443447491
1988,Intermediate inputs: Purchased services,0.707522535
1988,Intermediate inputs: Other intermediate inputs,0.729191338
1988,Total factor productivity (TFP),0.648741141
1989,Total agricultural output,0.672464193
1989,Livestock and products output: Total,0.717543037
1989,Livestock and products output: Meat animals,0.846705407
1989,Livestock and products output: Dairy,0.68341878
1989,Livestock and products output: Poultry and eggs,0.528649139
1989,Crops output: Total,0.672777864
1989,Crops output: Food grains,0.925867163
1989,Crops output: Feed crops,0.69644171
1989,Crops output: Oil crops,0.500684137
1989,Crops output: Vegetables and melons,0.925138702
1989,Crops output: Fruits and nuts,0.703080713
1989,Crops output: Other crops,0.683206575
1989,Farm-related output,0.528720801
1989,Farm inputs: Total ,0.947024566
1989,Capital inputs: Total,1.07742391
1989,Capital inputs: Durable equipment,0.852256899
1989,Capital inputs: Service buildings,1.547716772
1989,Capital inputs: Land,1.076504552
1989,Capital inputs: Inventories,1.031200031
1989,Labor inputs: Total,1.297697112
1989,Labor inputs: Hired labor,1.203247875
1989,Labor inputs: Self-employed and unpaid family workers,1.35329492
1989,Intermediate inputs: Total,0.763574183
1989,Intermediate inputs: Feed and seed,0.737142802
1989,Intermediate inputs: Energy,1.577436604
1989,Intermediate inputs: Fertilizer and lime,0.577445372
1989,Intermediate inputs: Pesticides,0.520591635
1989,Intermediate inputs: Purchased services,0.762995309
1989,Intermediate inputs: Other intermediate inputs,0.694210284
1989,Total factor productivity (TFP),0.710081044
1990,Total agricultural output,0.704840373
1990,Livestock and products output: Total,0.734811801
1990,Livestock and products output: Meat animals,0.852923419
1990,Livestock and products output: Dairy,0.702167335
1990,Livestock and products output: Poultry and eggs,0.564067596
1990,Crops output: Total,0.719191712
1990,Crops output: Food grains,1.194255899
1990,Crops output: Feed crops,0.717788947
1990,Crops output: Oil crops,0.503772262
1990,Crops output: Vegetables and melons,0.955588948
1990,Crops output: Fruits and nuts,0.691685231
1990,Crops output: Other crops,0.783009
1990,Farm-related output,0.537999967
1990,Farm inputs: Total ,0.961663758
1990,Capital inputs: Total,1.063212395
1990,Capital inputs: Durable equipment,0.826367842
1990,Capital inputs: Service buildings,1.501150345
1990,Capital inputs: Land,1.068802112
1990,Capital inputs: Inventories,1.079921826
1990,Labor inputs: Total,1.212991419
1990,Labor inputs: Hired labor,1.197514407
1990,Labor inputs: Self-employed and unpaid family workers,1.219571077
1990,Intermediate inputs: Total,0.816330396
1990,Intermediate inputs: Feed and seed,0.798004322
1990,Intermediate inputs: Energy,1.57147835
